"Cf","EVbar","Normals:0","Normals:1","Normals:2","WssX","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","Points:0","Points:1","Points:2"
3.29766e-03,6.15392e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.27467e+00,6.07344e-07,3.41940e+00,3.23444e+00,2.84231e-01,-5.54725e-06,0.00000e+00,2.77204e-01,2.36755e-05,0.00000e+00,9.14412e-05,5.31452e-02,-5.76490e+05,-1.35732e-03,4.06952e-02,-5.76640e+05,-1.74537e-21,3.16883e-01,5.00000e-07,-5.00000e-02
3.41237e-03,6.18207e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.59728e+00,6.10308e-07,4.62291e+00,4.85685e+00,2.94067e-01,-8.97829e-06,0.00000e+00,2.84491e-01,-6.66036e-06,0.00000e+00,-3.06794e-04,8.11896e-02,-5.78335e+05,-7.73996e-04,5.92442e-02,-5.76891e+05,-3.87516e-25,3.16883e-01,5.00000e-07,5.00000e-02
3.27719e-03,6.12315e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.21709e+00,6.04535e-07,3.60464e+00,3.50566e+00,2.82519e-01,2.40533e-06,0.00000e+00,2.74705e-01,1.98318e-06,0.00000e+00,-1.75477e-04,3.51055e-03,-5.68666e+05,2.74741e-05,-3.49977e-03,-5.67988e+05,2.72271e+04,3.26887e-01,5.00000e-07,-5.00000e-02
3.24642e-03,6.08257e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.13056e+00,5.99091e-07,2.90904e+00,2.87079e+00,2.79937e-01,3.88510e-05,0.00000e+00,2.71358e-01,4.05623e-05,0.00000e+00,-2.04168e-04,-1.16965e-02,-5.68348e+05,1.39719e-04,-2.54386e-02,-5.66513e+05,0.00000e+00,3.26887e-01,5.00000e-07,5.00000e-02
3.37476e-03,6.18917e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.49151e+00,6.11462e-07,4.72503e+00,4.64725e+00,2.90813e-01,4.12991e-05,0.00000e+00,2.82235e-01,2.34008e-05,0.00000e+00,3.34737e-04,4.55301e-03,-5.74695e+05,-3.23297e-04,-8.57098e-03,-5.73170e+05,0.00000e+00,3.36884e-01,5.00000e-07,-5.00000e-02
3.39467e-03,6.18244e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.54751e+00,6.09659e-07,4.13374e+00,4.10524e+00,2.92541e-01,-5.95064e-05,0.00000e+00,2.82433e-01,-7.05582e-05,0.00000e+00,9.27597e-04,7.10484e-02,-5.77803e+05,-1.37681e-03,5.62323e-02,-5.75285e+05,0.00000e+00,3.36884e-01,5.00000e-07,5.00000e-02
3.24992e-03,6.10975e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.14040e+00,6.03364e-07,2.97615e+00,2.67615e+00,2.80192e-01,-6.47334e-06,0.00000e+00,2.72783e-01,-4.12931e-06,0.00000e+00,2.61050e-04,5.47758e-02,-5.68387e+05,-7.83135e-04,4.93230e-02,-5.66557e+05,0.00000e+00,3.46879e-01,5.00000e-07,-5.00000e-02
3.36713e-03,6.14180e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.47006e+00,6.07542e-07,4.41860e+00,4.74833e+00,2.90240e-01,-3.72969e-06,0.00000e+00,2.81569e-01,-2.60007e-05,0.00000e+00,1.54661e-05,8.40299e-02,-5.70524e+05,-1.50178e-03,7.70762e-02,-5.68165e+05,0.00000e+00,3.46879e-01,5.00000e-07,5.00000e-02
3.23224e-03,6.08154e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.09067e+00,6.01571e-07,3.24678e+00,3.21224e+00,2.78715e-01,1.39590e-06,0.00000e+00,2.71856e-01,-6.83940e-06,0.00000e+00,-5.19144e-05,4.57986e-03,-5.61008e+05,-4.99617e-04,2.17591e-03,-5.59378e+05,0.00000e+00,3.56878e-01,5.00000e-07,-5.00000e-02
3.20345e-03,6.04278e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.00970e+00,5.96377e-07,2.50097e+00,2.46825e+00,2.76299e-01,3.46730e-05,0.00000e+00,2.68839e-01,8.04627e-05,0.00000e+00,-4.10382e-05,-9.53265e-03,-5.60879e+05,-7.65273e-04,-1.41848e-02,-5.58867e+05,0.00000e+00,3.56878e-01,5.00000e-07,5.00000e-02
3.32828e-03,6.14722e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.36078e+00,6.08834e-07,4.49051e+00,4.28647e+00,2.86881e-01,3.35877e-05,0.00000e+00,2.79813e-01,1.17430e-04,0.00000e+00,3.15769e-04,6.37872e-03,-5.67165e+05,-3.78852e-04,1.93312e-03,-5.65388e+05,0.00000e+00,3.66872e-01,5.00000e-07,-5.00000e-02
3.34945e-03,6.14211e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.42033e+00,6.07510e-07,3.83282e+00,3.80614e+00,2.88715e-01,-4.60290e-05,0.00000e+00,2.80673e-01,-1.37398e-04,0.00000e+00,6.82908e-04,7.24579e-02,-5.70414e+05,8.59146e-04,6.95874e-02,-5.68306e+05,0.00000e+00,3.66872e-01,5.00000e-07,5.00000e-02
3.20614e-03,6.06918e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.01726e+00,5.99825e-07,2.56754e+00,2.64688e+00,2.76486e-01,-5.44188e-06,0.00000e+00,2.69993e-01,-1.68317e-05,0.00000e+00,1.53391e-04,5.51032e-02,-5.61208e+05,8.01185e-04,5.54155e-02,-5.59315e+05,0.00000e+00,3.76866e-01,5.00000e-07,-5.00000e-02
3.32361e-03,6.10325e-07,0.00000e+00,1.00000e+00,0.00000e+00,9.34766e+00,6.06039e-07,4.26797e+00,4.16041e+00,2.86557e-01,2.45940e-06,0.00000e+00,2.80446e-01,9.19862e-06,0.00000e+00,6.88352e-06,8.36668e-02,-5.63485e+05,8.08815e-04,8.93314e-02,-5.61767e+05,0.00000e+00,3.76866e-01,5.00000e-07,5.00000e-02
3.19082e-03,6.04349e-07,0.00000e+00,1.00000e+00,0.00000e+00,8.97418e+00,5.98854e-07,2.91538e+00,2.81997e+00,2.75208e-01,9.64736e-07,0.00000e+00,2.69614e-01,-1.23103e-05,0.00000e+00,-2.45454e-05,4.23578e-03,-5.54206e+05,-1.99202e-04,7.58166e-03,-5.52956e+05,0.00000e+00,3.86861e-01,5.00000e-07,-5.00000e-02
