"EVbar","dwal","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00000e+00,0.00000e+00,0.00000e+00,2.56139e-01,3.62258e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.42591e-04,-1.71086e-03,-4.82483e+05,1.03082e-04,-1.40202e-03,-4.79778e+05,0.00000e+00,1,0.00000e+00,9.70000e-01,0.00000e+00,0.00000e+00
3.38586e-05,3.00000e-05,3.36448e-05,5.03247e-01,5.17851e-01,1.44031e+01,-8.18771e-04,0.00000e+00,1.44175e+01,-1.02790e-03,0.00000e+00,4.22116e-03,1.70517e+00,-4.59721e+05,3.78582e-02,1.45396e+00,-4.60931e+05,0.00000e+00,1,3.00000e-05,9.70000e-01,3.00000e-05,0.00000e+00
6.74480e-05,6.00000e-05,6.69070e-05,4.99490e-01,5.11161e-01,2.57026e+01,-1.94837e-03,0.00000e+00,2.54374e+01,-2.23136e-03,0.00000e+00,9.30385e-03,1.27728e+00,-2.75450e+05,5.58999e-02,6.07082e-01,-2.60523e+05,0.00000e+00,1,6.00000e-05,9.70000e-01,6.00000e-05,0.00000e+00
1.01484e-04,9.00000e-05,1.06155e-04,4.96874e-01,5.09689e-01,3.14425e+01,-2.60768e-03,0.00000e+00,3.09430e+01,-2.94271e-03,0.00000e+00,1.33986e-02,1.36457e-02,-1.35012e+05,6.48555e-02,-1.30956e-01,-1.36108e+05,0.00000e+00,1,9.00000e-05,9.70000e-01,9.00000e-05,0.00000e+00
1.35702e-04,1.20000e-04,1.42927e-04,4.94853e-01,5.09894e-01,3.44532e+01,-2.96830e-03,0.00000e+00,3.40892e+01,-3.39507e-03,0.00000e+00,1.44766e-02,-7.73313e-01,-7.72016e+04,6.92040e-02,-6.12221e-01,-8.24911e+04,0.00000e+00,1,1.20000e-04,9.70000e-01,1.20000e-04,0.00000e+00
1.69555e-04,1.50000e-04,1.76509e-04,4.94493e-01,5.16687e-01,3.63192e+01,-3.13663e-03,0.00000e+00,3.60840e+01,-3.65761e-03,0.00000e+00,1.59426e-02,-1.19327e+00,-5.36927e+04,7.27874e-02,-1.04270e+00,-5.70147e+04,0.00000e+00,1,1.50000e-04,9.70000e-01,1.50000e-04,0.00000e+00
2.03136e-04,1.80000e-04,2.09149e-04,4.94772e-01,5.24487e-01,3.77067e+01,-3.19891e-03,0.00000e+00,3.75462e+01,-3.77448e-03,0.00000e+00,1.66225e-02,-1.45771e+00,-4.13548e+04,7.50072e-02,-1.35912e+00,-4.31887e+04,0.00000e+00,1,1.80000e-04,9.70000e-01,1.80000e-04,0.00000e+00
2.36521e-04,2.10000e-04,2.41605e-04,4.95262e-01,5.31640e-01,3.88128e+01,-3.20546e-03,0.00000e+00,3.86946e+01,-3.80558e-03,0.00000e+00,1.68481e-02,-1.64033e+00,-3.40277e+04,7.64563e-02,-1.58348e+00,-3.50860e+04,0.00000e+00,1,2.10000e-04,9.70000e-01,2.10000e-04,0.00000e+00
2.69755e-04,2.40000e-04,2.74080e-04,4.95696e-01,5.37671e-01,3.97455e+01,-3.18860e-03,0.00000e+00,3.96536e+01,-3.80130e-03,0.00000e+00,1.68388e-02,-1.77994e+00,-2.90923e+04,7.74560e-02,-1.75296e+00,-2.97357e+04,0.00000e+00,1,2.40000e-04,9.70000e-01,2.40000e-04,0.00000e+00
3.02871e-04,2.70000e-04,3.06594e-04,4.96253e-01,5.43830e-01,4.05678e+01,-3.18695e-03,0.00000e+00,4.04935e+01,-3.81599e-03,0.00000e+00,1.67109e-02,-1.89554e+00,-2.54294e+04,7.82693e-02,-1.89105e+00,-2.58273e+04,0.00000e+00,1,2.70000e-04,9.70000e-01,2.70000e-04,0.00000e+00
3.35659e-04,3.00000e-04,3.38927e-04,4.98141e-01,5.53892e-01,4.12737e+01,-3.04761e-03,0.00000e+00,4.12110e+01,-3.64046e-03,0.00000e+00,1.70902e-02,-1.98087e+00,-2.28020e+04,7.94810e-02,-1.98985e+00,-2.30627e+04,0.00000e+00,1,3.00000e-04,9.70000e-01,3.00000e-04,0.00000e+00
3.68396e-04,3.30000e-04,3.71309e-04,4.98679e-01,5.57570e-01,4.19175e+01,-2.97535e-03,0.00000e+00,4.18632e+01,-3.56174e-03,0.00000e+00,1.68797e-02,-2.06373e+00,-2.06681e+04,7.98602e-02,-2.08507e+00,-2.08357e+04,0.00000e+00,1,3.30000e-04,9.70000e-01,3.30000e-04,0.00000e+00
4.00956e-04,3.60000e-04,4.03580e-04,5.00344e-01,5.65744e-01,4.25130e+01,-2.89005e-03,0.00000e+00,4.24653e+01,-3.46044e-03,0.00000e+00,1.67958e-02,-2.13595e+00,-1.88838e+04,8.04910e-02,-2.16676e+00,-1.89855e+04,0.00000e+00,1,3.60000e-04,9.70000e-01,3.60000e-04,0.00000e+00
4.33254e-04,3.90000e-04,4.35649e-04,5.01329e-01,5.69826e-01,4.30453e+01,-2.75867e-03,0.00000e+00,4.30024e+01,-3.29586e-03,0.00000e+00,1.66854e-02,-2.19902e+00,-1.74661e+04,8.08879e-02,-2.23697e+00,-1.75247e+04,0.00000e+00,1,3.90000e-04,9.70000e-01,3.90000e-04,0.00000e+00
4.65410e-04,4.20000e-04,4.67612e-04,5.03400e-01,5.78170e-01,4.35507e+01,-2.62684e-03,0.00000e+00,4.35118e+01,-3.12400e-03,0.00000e+00,1.65669e-02,-2.25711e+00,-1.62117e+04,8.13670e-02,-2.30083e+00,-1.62372e+04,0.00000e+00,1,4.20000e-04,9.70000e-01,4.20000e-04,0.00000e+00
